sex,lives_with_partner,n_household,retired,age,age_partner,years_of_education,household_income,books_age_10,relative_math_ability_at_age_10,relative_language_ability_at_age_10
female,yes,2,no,69,67,13,27916,>25,better,better
male,no,1,yes,79,NA,14,17865,>25,same/worse,better
female,yes,2,yes,67,74,8,53233,>25,better,better
male,yes,2,yes,70,67,9,15213,>25,same/worse,same/worse
female,yes,2,yes,82,93,15,18061,>25,better,better
female,no,1,no,62,NA,19,49573,0-25,better,better
male,no,1,yes,73,NA,11,14555,>25,same/worse,better
male,no,1,yes,69,NA,13,18264,>25,same/worse,same/worse
female,yes,2,no,54,59,13,45903,>25,better,same/worse
male,yes,2,yes,81,71,18,29346,>25,better,better
female,yes,2,yes,74,73,11,20611,>25,same/worse,better
female,yes,2,yes,89,91,10,13675,0-25,same/worse,better
male,yes,2,yes,70,65,7,27460,0-25,same/worse,same/worse
male,yes,2,yes,66,63,16,35086,>25,better,same/worse
female,yes,2,yes,70,72,15,27930,>25,better,same/worse
female,yes,2,yes,81,75,10,47589,0-25,better,same/worse
male,yes,2,yes,73,66,10,57855,0-25,same/worse,same/worse
male,yes,2,no,64,59,10,23524,>25,better,same/worse
female,yes,2,no,61,68,16,21097,>25,same/worse,better
male,yes,2,no,58,55,8,26719,>25,same/worse,same/worse
female,yes,2,yes,69,70,17,56350,>25,same/worse,same/worse
male,no,1,yes,78,NA,6,2862,0-25,same/worse,better
male,yes,5,no,50,43,19,68672,>25,same/worse,same/worse
female,yes,2,yes,72,74,11,71567,>25,same/worse,same/worse
female,yes,2,no,55,60,14,38617,>25,better,better
male,yes,2,no,64,61,15,50846,>25,same/worse,better
female,yes,2,yes,73,88,10,42950,>25,better,better
male,yes,2,yes,71,67,13,35192,>25,better,better
female,yes,2,yes,72,72,19,34543,>25,better,better
female,no,1,yes,88,NA,9,3846,0-25,same/worse,same/worse
male,yes,2,no,61,57,13,49661,>25,better,better
female,no,1,yes,83,NA,8,7298,0-25,same/worse,better
female,yes,2,yes,69,77,16,33396,>25,better,better
male,yes,2,yes,77,69,12,21610,>25,same/worse,better
male,yes,2,yes,72,68,15,54831,>25,better,better
male,yes,2,yes,70,67,8,51424,0-25,better,same/worse
female,yes,2,yes,73,74,13,34244,>25,better,better
female,no,1,no,65,NA,18,7437,>25,same/worse,same/worse
male,yes,2,yes,74,73,1,36254,0-25,same/worse,same/worse
female,yes,2,yes,75,74,3,10928,0-25,better,better
male,yes,2,yes,86,74,12,17914,>25,same/worse,same/worse
female,yes,2,yes,87,77,9,40254,>25,same/worse,same/worse
male,yes,2,yes,73,70,11,19468,>25,same/worse,same/worse
female,no,1,yes,66,NA,7,12560,>25,same/worse,same/worse
male,no,1,yes,81,NA,12,17107,>25,better,same/worse
male,yes,2,yes,70,66,11,15343,>25,same/worse,better
male,yes,2,no,59,56,8,17392,>25,better,same/worse
female,no,1,yes,69,NA,11,16356,>25,better,better
female,yes,2,no,61,63,15,22300,>25,better,better
female,yes,2,no,56,60,9,107290,>25,same/worse,same/worse
female,yes,2,yes,77,73,6,44455,0-25,same/worse,same/worse
male,yes,2,yes,70,68,8,14600,>25,better,same/worse
female,yes,2,yes,80,82,10,38174,>25,better,better
female,no,1,yes,76,NA,9,2965,>25,same/worse,same/worse
male,yes,2,no,73,63,16,40666,>25,better,same/worse
female,yes,2,yes,65,73,11,23555,0-25,same/worse,same/worse
male,no,1,yes,70,NA,8,16052,>25,same/worse,same/worse
male,yes,2,yes,75,71,15,26520,>25,better,better
female,yes,2,yes,74,75,5,7096,0-25,better,same/worse
male,yes,2,yes,96,82,0,11591,0-25,same/worse,same/worse
female,yes,2,yes,67,68,17,49382,>25,same/worse,better
male,yes,3,yes,76,74,14,31398,0-25,better,better
male,yes,2,no,56,60,18,40517,>25,better,better
female,yes,2,no,60,74,17,30527,>25,better,better
male,yes,2,no,72,77,10,34571,>25,same/worse,same/worse
male,no,1,no,64,NA,13,9109,0-25,same/worse,same/worse
female,yes,2,yes,71,77,6,19505,0-25,better,better
male,yes,2,yes,68,70,16,31870,>25,same/worse,same/worse
female,yes,2,no,59,61,13,37925,>25,same/worse,better
male,yes,2,yes,98,83,18,28940,>25,better,same/worse
male,yes,2,yes,73,72,13,26660,0-25,better,same/worse
female,yes,2,yes,68,70,15,42693,>25,same/worse,same/worse
female,yes,2,yes,68,68,12,20135,0-25,same/worse,same/worse
female,no,1,yes,71,NA,14,30948,>25,same/worse,better
female,yes,2,no,54,58,18,43591,>25,better,better
female,no,1,yes,84,NA,5,11495,0-25,same/worse,same/worse
female,yes,2,yes,72,75,11,39161,>25,better,better
male,yes,2,yes,67,64,13,63404,>25,better,same/worse
female,yes,2,no,64,68,13,43777,0-25,better,better
male,yes,2,no,63,55,16,44632,>25,better,same/worse
male,yes,2,yes,69,65,10,32184,>25,same/worse,same/worse
female,yes,2,yes,65,68,14,32679,0-25,better,same/worse
female,yes,2,no,58,61,17,26899,0-25,same/worse,same/worse
male,yes,2,no,70,64,14,27842,>25,better,same/worse
female,yes,2,no,62,65,22,36852,>25,better,better
male,yes,2,no,58,64,9,25586,0-25,same/worse,same/worse
female,no,1,yes,70,NA,15,10781,>25,same/worse,same/worse
female,yes,2,yes,79,80,5,24785,0-25,same/worse,same/worse
male,no,1,yes,85,NA,10,18331,0-25,better,better
male,no,1,yes,72,NA,6,48615,>25,better,better
female,no,1,yes,75,NA,8,7802,>25,same/worse,same/worse
female,yes,2,yes,77,80,16,9380,>25,same/worse,same/worse
male,yes,2,yes,79,74,5,8030,0-25,same/worse,same/worse
male,yes,2,yes,67,64,15,15041,>25,same/worse,same/worse
female,yes,2,yes,75,83,10,23003,>25,same/worse,same/worse
male,yes,2,yes,72,69,14,22113,>25,better,same/worse
female,yes,2,yes,67,76,23,22702,>25,same/worse,same/worse
male,yes,2,yes,74,68,10,31508,0-25,same/worse,better
male,no,1,yes,73,NA,10,20367,>25,same/worse,better
male,yes,2,no,64,58,14,137557,>25,better,better
female,yes,2,no,70,67,17,90558,>25,better,better
female,yes,2,yes,74,71,9,27797,0-25,better,same/worse
female,no,1,yes,90,NA,6,34652,>25,same/worse,same/worse
female,no,1,no,59,NA,21,43556,>25,better,better
female,yes,2,no,56,59,13,29024,0-25,better,better
female,yes,2,no,58,66,9,63325,>25,better,same/worse
female,yes,2,yes,69,70,7,49310,0-25,better,better
female,yes,2,yes,69,74,10,28089,0-25,same/worse,same/worse
male,yes,2,no,65,59,10,23903,>25,same/worse,same/worse
female,yes,2,no,55,58,16,66952,>25,same/worse,better
female,no,1,yes,72,NA,8,17326,>25,same/worse,better
female,yes,2,yes,90,96,12,27443,>25,better,better
male,yes,2,yes,85,79,11,23184,>25,better,better
female,no,1,yes,85,NA,9,25442,0-25,same/worse,same/worse
female,no,1,yes,75,NA,10,24962,>25,better,better
female,yes,2,yes,70,73,11,26221,0-25,better,better
female,yes,2,yes,69,70,10,23091,0-25,same/worse,same/worse
female,yes,2,no,55,61,10,28220,0-25,same/worse,better
male,yes,2,no,55,53,5,37871,>25,same/worse,same/worse
female,yes,2,no,55,58,17,31913,>25,better,better
male,yes,2,no,59,59,17,49286,>25,better,better
male,yes,4,no,50,46,14,68448,>25,same/worse,same/worse
male,no,1,yes,72,NA,11,14883,0-25,same/worse,same/worse
female,no,1,yes,70,NA,7,45327,>25,same/worse,same/worse
